Chaim_Weizmann, 1874-11-27, 2,11,109357
Charles_Goodyear, 1800-12-29, 2,47,25307
Charles_Lyell, 1797-11-14, 2,7,169837
Charles_Mingus, 1922-04-22, 2,3,403861
Charles_Taylor_(Liberian_politician), 1948-01-28, 2,29,41941
Charles_VII,_Holy_Roman_Emperor, 1697-08-06, 2,7,167221
Charlie_Sheen, 1965-09-03, 2,3,406501
Chen_Shui-bian, 1950-10-12, 2,47,25889
Chiang_Ching-kuo, 1910-04-27, 2,2,604697
Chris_Colfer, 1990-05-27, 2,101,12119
Chris_Cooper, 1951-07-09, 2,2,608459
Chris_Martin, 1977-03-02, 2,2,610801
Christiaan_Eijkman, 1858-08-11, 2,157,7643
Christian_B._Anfinsen, 1916-03-26, 2,2,605237
Christian_Goldbach, 1690-03-18, 2,2,584599
Christian_Wulff, 1959-06-19, 2,3,406123
Christoph_Metzelder, 1980-11-05, 2,2,611137
Christopher_Plummer, 1929-12-13, 2,19,63841
Clint_Dempsey, 1983-03-09, 2,3,407567
Clint_Mansell, 1963-01-07, 2,2,609509
Cobie_Smulders, 1982-04-03, 2,73,16747
Colette, 1873-01-28, 2,7,171799
Colin_Powell, 1937-04-05, 2,2,607157
Comte_de_Lautréamont, 1846-04-04, 2,5,239539
Coolio, 1963-08-01, 2,17,71713
Cordell_Hull, 1871-10-02, 2,751,1601
Damien_Duff, 1979-03-02, 2,23,53129
Damien_Hirst, 1965-06-07, 2,829,1471
Damon_Albarn, 1968-03-23, 2,97,12577
Daniel_Agger, 1984-12-12, 2,271,4513
Daniel_Nestor, 1972-09-04, 2,2,610391
Daniel_Ricciardo, 1989-07-01, 2,2,611927
Daniel_Schneidermann, 1958-04-05, 2,23,52963
Danny_Trejo, 1944-05-16, 2,7,173659
Daphne_du_Maurier, 1907-05-13, 2,2,604427
Dave_Murray_(musician), 1956-12-23, 2,5,243583
David_Alfaro_Siqueiros, 1896-12-29, 2,7,172423
David_Bryan, 1962-02-07, 2,47,25933
David_Hasselhoff, 1952-07-17, 2,5,243421
David_Paterson, 1954-05-20, 2,47,25903
David_Silva, 1986-01-08, 2,67,18257
David_Strathairn, 1949-01-26, 2,31,39241
David_Suazo, 1979-11-05, 2,13,94007
David_Suchet, 1946-05-02, 2,983,1237
David_Thewlis, 1963-03-20, 2,2,609527
David_Trimble, 1944-10-15, 2,811,1499
Dayana_Mendoza, 1986-06-01, 2,31,39461
Dean_Martin, 1917-06-07, 2,11,110063
Deco, 1977-08-27, 2,23,53117
Demi_Lovato, 1992-08-20, 2,59,20753
Deng_Xiaoping, 1904-08-22, 2,1039,1163
Dian_Fossey, 1932-01-16, 2,79,15359
Diane_Kruger, 1976-07-15, 2,227,5381
Diane_Lane, 1965-01-22, 2,23,53017
Dianne_Wiest, 1948-03-28, 2,13,93563
Didier_Drogba, 1978-03-11, 2,3,407263
Diego_Ribas_da_Cunha, 1985-02-28, 2,2,611531
Dileita_Mohamed_Dileita, 1958-03-12, 2,449,2713
Dirk_Nowitzki, 1978-06-19, 2,71,17209
Djibril_Cissé, 1981-08-12, 2,2,611207
Dokka_Umarov, 1964-04-13, 2,19,64171
Dominic_Purcell, 1970-02-17, 2,7,174331
Dragan_Džajić, 1946-05-30, 2,5,243197
Duffy_(singer), 1984-06-23, 2,173,7069
Dwight_Yorke, 1971-11-03, 2,79,15451
E._O._Wilson, 1929-06-10, 2,2,606443
Eddie_Izzard, 1962-02-07, 2,47,25933
Edmund_Barton, 1849-01-18, 2,5,239641
Edmund_Husserl, 1859-04-08, 2,23,52177
Eduardo_Frei_Ruiz-Tagle, 1942-06-24, 2,3,405089
Edward_Burne-Jones, 1833-08-28, 2,2,597697
